xyz_campaign_id,interest,age,gender,total_spent,total_sales,leads,LeadQuality
916,15,30-34,M,6.199999929,1,3,0.33333333333333331
916,16,30-34,M,3.090000004,1,5,0.2
916,20,30-34,M,10.28000021,1,2,0.5
916,28,30-34,M,5.6999999290000005,2,4,0.5
916,29,30-34,M,0.0,1,1,1.0
916,27,30-34,M,1.5,0,1,0.0
916,31,30-34,M,0.0,1,2,0.5
916,7,30-34,M,0.0,0,1,0.0
916,30,30-34,M,0.569999993,0,1,0.0
916,15,35-39,M,4.299999952,1,3,0.33333333333333331
916,16,35-39,M,10.740000009,3,5,0.6
916,7,35-39,M,0.0,0,1,0.0
916,29,35-39,M,2.980000019,1,1,1.0
916,16,40-44,M,15.680000305,2,4,0.5
916,15,40-44,M,0.0,1,1,1.0
916,16,45-49,M,15.82000017,0,1,0.0
916,24,45-49,M,1.470000029,0,1,0.0
916,21,45-49,M,1.529999971,1,1,1.0
916,16,30-34,F,27.289999957,2,3,0.66666666666666663
916,32,30-34,F,1.610000014,1,1,1.0
916,15,30-34,F,2.700000047,0,2,0.0
916,18,30-34,F,0.0,0,1,0.0
916,27,30-34,F,0.0,0,1,0.0
916,29,30-34,F,9.430000067,1,1,1.0
916,63,30-34,F,0.0,0,1,0.0
916,65,30-34,F,6.960000038,0,1,0.0
916,25,35-39,F,1.220000029,0,1,0.0
916,27,35-39,F,2.799999952,1,1,1.0
916,20,35-39,F,1.600000024,0,1,0.0
916,15,40-44,F,1.129999995,1,2,0.5
916,10,45-49,F,5.730000019,2,2,1.0
916,19,45-49,F,0.0,0,1,0.0
916,63,45-49,F,9.379999995,0,1,0.0
936,10,30-34,M,17.680000066,7,13,0.53846153846153844
936,15,30-34,M,17.609999771,5,11,0.45454545454545453
936,21,30-34,M,0.0,2,3,0.66666666666666663
936,25,30-34,M,0.0,0,1,0.0
936,26,30-34,M,14.059999823,2,7,0.2857142857142857
936,29,30-34,M,1.759999991,4,13,0.30769230769230771
936,36,30-34,M,0.0,1,2,0.5
936,10,35-39,M,2.960000038,2,3,0.66666666666666663
936,16,35-39,M,18.76000011,2,12,0.16666666666666666
936,20,35-39,M,5.269999981,1,2,0.5
936,23,35-39,M,0.0,0,1,0.0
936,26,35-39,M,0.0,0,1,0.0
936,27,35-39,M,15.380000114999998,1,3,0.33333333333333331
936,28,35-39,M,5.050000071,0,6,0.0
936,29,35-39,M,7.539999961,2,5,0.4
936,29,40-44,M,12.140000222999998,2,5,0.4
936,36,40-44,M,1.409999967,0,2,0.0
936,18,45-49,M,5.7000001660000006,1,5,0.2
936,19,45-49,M,0.0,0,1,0.0
936,29,45-49,M,10.189999938,1,3,0.33333333333333331
936,31,45-49,M,0.0,0,1,0.0
936,10,30-34,F,20.950000280999998,4,6,0.66666666666666663
936,16,30-34,F,67.649999614,5,20,0.25
